"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"RD Jacobs (WI)","1998-2004",65,112,21,2577,"118",28.31,3,14,12,"https://stats.espncricinfo.com/ci/engine/player/52199.html?class=1;template=results;type=batting;view=innings"
"RS Mahanama (SL)","1986-1998",52,89,1,2576,"225",29.27,4,11,7,"https://stats.espncricinfo.com/ci/engine/player/49626.html?class=1;template=results;type=batting;view=innings"
"C Washbrook (ENG)","1937-1956",37,66,6,2569,"195",42.81,6,12,2,"https://stats.espncricinfo.com/ci/engine/player/22322.html?class=1;template=results;type=batting;view=innings"
"GS Blewett (AUS)","1995-2000",46,79,4,2552,"214",34.02,4,15,6,"https://stats.espncricinfo.com/ci/engine/player/4161.html?class=1;template=results;type=batting;view=innings"
"Shan Masood (PAK)","2013-2025",44,84,1,2550,"156",30.72,6,13,9,"https://stats.espncricinfo.com/ci/engine/player/233901.html?class=1;template=results;type=batting;view=innings"
"DP Conway (NZ)","2021-2025",32,60,2,2533,"227",43.67,7,13,5,"https://stats.espncricinfo.com/ci/engine/player/379140.html?class=1;template=results;type=batting;view=innings"
"JN Rhodes (SA)","1992-2000",52,80,9,2532,"117",35.66,3,17,4,"https://stats.espncricinfo.com/ci/engine/player/46973.html?class=1;template=results;type=batting;view=innings"
"GP Howarth (NZ)","1975-1985",47,83,5,2531,"147",32.44,6,11,7,"https://stats.espncricinfo.com/ci/engine/player/37254.html?class=1;template=results;type=batting;view=innings"
"SM Nurse (WI)","1960-1969",29,54,1,2523,"258",47.6,6,10,3,"https://stats.espncricinfo.com/ci/engine/player/52636.html?class=1;template=results;type=batting;view=innings"
"EJ Barlow (SA)","1961-1970",30,57,2,2516,"201",45.74,6,15,3,"https://stats.espncricinfo.com/ci/engine/player/44045.html?class=1;template=results;type=batting;view=innings"
"TL Goddard (SA)","1955-1970",41,78,5,2516,"112",34.46,1,18,4,"https://stats.espncricinfo.com/ci/engine/player/45234.html?class=1;template=results;type=batting;view=innings"
"YBK Jaiswal (IND)","2023-2025",28,53,2,2511,"214*",49.23,7,13,6,"https://stats.espncricinfo.com/ci/engine/player/1151278.html?class=1;template=results;type=batting;view=innings"
"A Kumble (IND)","1990-2008",132,173,32,2506,"110*",17.77,1,5,17,"https://stats.espncricinfo.com/ci/engine/player/30176.html?class=1;template=results;type=batting;view=innings"
"RL Chase (WI)","2016-2025",57,106,4,2486,"137*",24.37,5,11,15,"https://stats.espncricinfo.com/ci/engine/player/391832.html?class=1;template=results;type=batting;view=innings"
"BL D'Oliveira (ENG)","1966-1972",44,70,8,2484,"158",40.06,5,15,4,"https://stats.espncricinfo.com/ci/engine/player/11914.html?class=1;template=results;type=batting;view=innings"
"MA Starc (AUS)","2011-2026",105,154,33,2478,"99",20.47,0,13,17,"https://stats.espncricinfo.com/ci/engine/player/311592.html?class=1;template=results;type=batting;view=innings"
"AL Logie (WI)","1983-1991",52,78,9,2470,"130",35.79,2,16,8,"https://stats.espncricinfo.com/ci/engine/player/52347.html?class=1;template=results;type=batting;view=innings"
"DW Randall (ENG)","1977-1984",47,79,5,2470,"174",33.37,7,12,14,"https://stats.espncricinfo.com/ci/engine/player/19327.html?class=1;template=results;type=batting;view=innings"
"W Bardsley (AUS)","1909-1926",41,66,5,2469,"193*",40.47,6,14,6,"https://stats.espncricinfo.com/ci/engine/player/4095.html?class=1;template=results;type=batting;view=innings"
"KR Rutherford (NZ)","1985-1995",56,99,8,2465,"107*",27.08,3,18,16,"https://stats.espncricinfo.com/ci/engine/player/38258.html?class=1;template=results;type=batting;view=innings"
"AP Gurusinha (SL)","1985-1996",41,70,7,2452,"143",38.92,7,8,3,"https://stats.espncricinfo.com/ci/engine/player/49005.html?class=1;template=results;type=batting;view=innings"
"P Roy (IND)","1951-1960",43,79,4,2442,"173",32.56,5,9,14,"https://stats.espncricinfo.com/ci/engine/player/33186.html?class=1;template=results;type=batting;view=innings"
"WJ Edrich (ENG)","1938-1955",39,63,2,2440,"219",40,6,13,3,"https://stats.espncricinfo.com/ci/engine/player/12492.html?class=1;template=results;type=batting;view=innings"
"DJ McGlew (SA)","1951-1962",34,64,6,2440,"255*",42.06,7,10,4,"https://stats.espncricinfo.com/ci/engine/player/46203.html?class=1;template=results;type=batting;view=innings"
"TG Evans (ENG)","1946-1959",91,133,14,2439,"104",20.49,2,8,17,"https://stats.espncricinfo.com/ci/engine/player/12543.html?class=1;template=results;type=batting;view=innings"
"LEG Ames (ENG)","1929-1939",47,72,12,2434,"149",40.56,8,7,5,"https://stats.espncricinfo.com/ci/engine/player/8532.html?class=1;template=results;type=batting;view=innings"
"JHB Waite (SA)","1951-1965",50,86,7,2405,"134",30.44,4,16,9,"https://stats.espncricinfo.com/ci/engine/player/47857.html?class=1;template=results;type=batting;view=innings"
"BRM Taylor (ZIM)","2004-2025",36,71,4,2403,"171",35.86,6,12,3,"https://stats.espncricinfo.com/ci/engine/player/55814.html?class=1;template=results;type=batting;view=innings"
"Imran Farhat (PAK)","2001-2013",40,77,2,2400,"128",32,3,14,3,"https://stats.espncricinfo.com/ci/engine/player/40582.html?class=1;template=results;type=batting;view=innings"
"Mohammad Rizwan (PAK)","2016-2025",41,69,9,2399,"171*",39.98,3,12,4,"https://stats.espncricinfo.com/ci/engine/player/323389.html?class=1;template=results;type=batting;view=innings"
"MR Ramprakash (ENG)","1991-2002",52,92,6,2350,"154",27.32,2,12,12,"https://stats.espncricinfo.com/ci/engine/player/19323.html?class=1;template=results;type=batting;view=innings"
"AT Carey (AUS)","2021-2026",48,73,8,2333,"156",35.89,3,13,4,"https://stats.espncricinfo.com/ci/engine/player/326434.html?class=1;template=results;type=batting;view=innings"
"W Rhodes (ENG)","1899-1930",58,98,21,2325,"179",30.19,2,11,6,"https://stats.espncricinfo.com/ci/engine/player/19376.html?class=1;template=results;type=batting;view=innings"
"S Dhawan (IND)","2013-2018",34,58,1,2315,"190",40.61,7,5,4,"https://stats.espncricinfo.com/ci/engine/player/28235.html?class=1;template=results;type=batting;view=innings"
"GT Dowling (NZ)","1961-1972",39,77,3,2306,"239",31.16,3,11,6,"https://stats.espncricinfo.com/ci/engine/player/36837.html?class=1;template=results;type=batting;view=innings"
"WM Woodfull (AUS)","1926-1934",35,54,4,2300,"161",46,7,13,6,"https://stats.espncricinfo.com/ci/engine/player/8246.html?class=1;template=results;type=batting;view=innings"
"Najmul Hossain Shanto (BAN)","2017-2025",39,73,2,2298,"163",32.36,8,5,7,"https://stats.espncricinfo.com/ci/engine/player/629058.html?class=1;template=results;type=batting;view=innings"
"TE Bailey (ENG)","1949-1959",61,91,14,2290,"134*",29.74,1,10,7,"https://stats.espncricinfo.com/ci/engine/player/8944.html?class=1;template=results;type=batting;view=innings"
"PJP Burge (AUS)","1955-1966",42,68,8,2290,"181",38.16,4,12,5,"https://stats.espncricinfo.com/ci/engine/player/4241.html?class=1;template=results;type=batting;view=innings"
"SE Gregory (AUS)","1890-1912",58,100,7,2282,"201",24.53,4,8,12,"https://stats.espncricinfo.com/ci/engine/player/5438.html?class=1;template=results;type=batting;view=innings"
"MJK Smith (ENG)","1958-1972",50,78,6,2278,"121",31.63,3,11,11,"https://stats.espncricinfo.com/ci/engine/player/20255.html?class=1;template=results;type=batting;view=innings"
"SE Marsh (AUS)","2011-2019",38,68,2,2265,"182",34.31,6,10,10,"https://stats.espncricinfo.com/ci/engine/player/6683.html?class=1;template=results;type=batting;view=innings"
"SD Hope (WI)","2015-2025",46,88,3,2260,"147",26.58,4,6,2,"https://stats.espncricinfo.com/ci/engine/player/581379.html?class=1;template=results;type=batting;view=innings"
"RG Pollock (SA)","1963-1970",23,41,4,2256,"274",60.97,7,11,1,"https://stats.espncricinfo.com/ci/engine/player/46772.html?class=1;template=results;type=batting;view=innings"
"TG Southee (NZ)","2008-2024",107,156,11,2245,"77*",15.48,0,7,21,"https://stats.espncricinfo.com/ci/engine/player/232364.html?class=1;template=results;type=batting;view=innings"
"AW Nourse (SA)","1902-1924",45,83,8,2234,"111",29.78,1,15,3,"https://stats.espncricinfo.com/ci/engine/player/46590.html?class=1;template=results;type=batting;view=innings"
"Harbhajan Singh (IND)","1998-2015",103,145,23,2224,"115",18.22,2,9,19,"https://stats.espncricinfo.com/ci/engine/player/29264.html?class=1;template=results;type=batting;view=innings"
"H Masakadza (ZIM)","2001-2018",38,76,2,2223,"158",30.04,5,8,10,"https://stats.espncricinfo.com/ci/engine/player/55608.html?class=1;template=results;type=batting;view=innings"
"GJ Whittall (ZIM)","1993-2002",46,82,7,2207,"203*",29.42,4,10,6,"https://stats.espncricinfo.com/ci/engine/player/55848.html?class=1;template=results;type=batting;view=innings"
"R Benaud (AUS)","1952-1964",63,97,7,2201,"122",24.45,3,9,8,"https://stats.espncricinfo.com/ci/engine/player/4123.html?class=1;template=results;type=batting;view=innings"
"DJ Bravo (WI)","2004-2010",40,71,1,2200,"113",31.42,3,13,6,"https://stats.espncricinfo.com/ci/engine/player/51439.html?class=1;template=results;type=batting;view=innings"
"VS Hazare (IND)","1946-1953",30,52,6,2192,"164*",47.65,7,9,4,"https://stats.espncricinfo.com/ci/engine/player/29290.html?class=1;template=results;type=batting;view=innings"
"GA Headley (WI)","1930-1954",22,40,4,2190,"270*",60.83,10,5,2,"https://stats.espncricinfo.com/ci/engine/player/52050.html?class=1;template=results;type=batting;view=innings"
"DJ Mitchell (NZ)","2019-2025",35,55,5,2175,"190",43.5,5,15,1,"https://stats.espncricinfo.com/ci/engine/player/381743.html?class=1;template=results;type=batting;view=innings"
"Mehidy Hasan Miraz (BAN)","2016-2025",56,100,10,2174,"104",24.15,2,9,6,"https://stats.espncricinfo.com/ci/engine/player/629063.html?class=1;template=results;type=batting;view=innings"
"TA Blundell (NZ)","2017-2025",44,72,7,2173,"138",33.43,5,11,6,"https://stats.espncricinfo.com/ci/engine/player/440516.html?class=1;template=results;type=batting;view=innings"
"D Ganga (WI)","1998-2008",48,86,2,2160,"135",25.71,3,9,9,"https://stats.espncricinfo.com/ci/engine/player/51872.html?class=1;template=results;type=batting;view=innings"
"JB Stollmeyer (WI)","1939-1955",32,56,5,2159,"160",42.33,4,12,2,"https://stats.espncricinfo.com/ci/engine/player/52953.html?class=1;template=results;type=batting;view=innings"
"CG Macartney (AUS)","1907-1926",35,55,4,2131,"170",41.78,7,9,1,"https://stats.espncricinfo.com/ci/engine/player/6434.html?class=1;template=results;type=batting;view=innings"
"HAPW Jayawardene (SL)","2000-2015",58,83,11,2124,"154*",29.5,4,5,9,"https://stats.espncricinfo.com/ci/engine/player/49236.html?class=1;template=results;type=batting;view=innings"
"WH Ponsford (AUS)","1924-1934",29,48,4,2122,"266",48.22,7,6,1,"https://stats.espncricinfo.com/ci/engine/player/7131.html?class=1;template=results;type=batting;view=innings"
"RA McLean (SA)","1951-1964",40,73,3,2120,"142",30.28,5,10,11,"https://stats.espncricinfo.com/ci/engine/player/46212.html?class=1;template=results;type=batting;view=innings"
"KOA Powell (WI)","2011-2021",44,83,1,2113,"134",25.76,3,7,8,"https://stats.espncricinfo.com/ci/engine/player/252932.html?class=1;template=results;type=batting;view=innings"
"AL Wadekar (IND)","1966-1974",37,71,3,2113,"143",31.07,1,14,7,"https://stats.espncricinfo.com/ci/engine/player/35933.html?class=1;template=results;type=batting;view=innings"
"MH Mankad (IND)","1946-1959",44,72,5,2109,"231",31.47,5,6,7,"https://stats.espncricinfo.com/ci/engine/player/30939.html?class=1;template=results;type=batting;view=innings"
"JP Duminy (SA)","2008-2017",46,74,10,2103,"166",32.85,6,8,9,"https://stats.espncricinfo.com/ci/engine/player/44932.html?class=1;template=results;type=batting;view=innings"
"JK Silva (SL)","2011-2018",39,74,0,2099,"139",28.36,3,12,6,"https://stats.espncricinfo.com/ci/engine/player/50482.html?class=1;template=results;type=batting;view=innings"
"AN Petersen (SA)","2010-2015",36,64,4,2093,"182",34.88,5,8,3,"https://stats.espncricinfo.com/ci/engine/player/46934.html?class=1;template=results;type=batting;view=innings"
"HDRL Thirimanne (SL)","2011-2022",44,85,6,2088,"155*",26.43,3,10,11,"https://stats.espncricinfo.com/ci/engine/player/301236.html?class=1;template=results;type=batting;view=innings"
"CPS Chauhan (IND)","1969-1981",40,68,2,2084,"97",31.57,0,16,6,"https://stats.espncricinfo.com/ci/engine/player/27619.html?class=1;template=results;type=batting;view=innings"
"MR Marsh (AUS)","2014-2024",46,80,7,2083,"181",28.53,3,9,9,"https://stats.espncricinfo.com/ci/engine/player/272450.html?class=1;template=results;type=batting;view=innings"
"Imtiaz Ahmed (PAK)","1952-1962",41,72,1,2079,"209",29.28,3,11,9,"https://stats.espncricinfo.com/ci/engine/player/40565.html?class=1;template=results;type=batting;view=innings"
"MG Johnson (AUS)","2007-2015",73,109,16,2065,"123*",22.2,1,11,19,"https://stats.espncricinfo.com/ci/engine/player/6033.html?class=1;template=results;type=batting;view=innings"
"K Srikkanth (IND)","1981-1992",43,72,3,2062,"123",29.88,2,12,7,"https://stats.espncricinfo.com/ci/engine/player/34103.html?class=1;template=results;type=batting;view=innings"
"RM Cowper (AUS)","1964-1968",27,46,2,2061,"307",46.84,5,10,3,"https://stats.espncricinfo.com/ci/engine/player/4645.html?class=1;template=results;type=batting;view=innings"
"PE Richardson (ENG)","1956-1963",34,56,1,2061,"126",37.47,5,9,1,"https://stats.espncricinfo.com/ci/engine/player/19386.html?class=1;template=results;type=batting;view=innings"
"ML Jaisimha (IND)","1959-1971",39,71,4,2056,"129",30.68,3,12,9,"https://stats.espncricinfo.com/ci/engine/player/29663.html?class=1;template=results;type=batting;view=innings"
"LG Rowe (WI)","1972-1980",30,49,2,2047,"302",43.55,7,7,2,"https://stats.espncricinfo.com/ci/engine/player/52823.html?class=1;template=results;type=batting;view=innings"
"SV Manjrekar (IND)","1987-1996",37,61,6,2043,"218",37.14,4,9,3,"https://stats.espncricinfo.com/ci/engine/player/30934.html?class=1;template=results;type=batting;view=innings"
"CR Woakes (ENG)","2013-2025",62,99,18,2034,"137*",25.11,1,7,11,"https://stats.espncricinfo.com/ci/engine/player/247235.html?class=1;template=results;type=batting;view=innings"
"BA Young (NZ)","1993-1999",35,68,4,2034,"267*",31.78,2,12,5,"https://stats.espncricinfo.com/ci/engine/player/38929.html?class=1;template=results;type=batting;view=innings"
"MJ Greatbatch (NZ)","1988-1996",41,71,5,2021,"146*",30.62,3,10,9,"https://stats.espncricinfo.com/ci/engine/player/37105.html?class=1;template=results;type=batting;view=innings"
"CJL Rogers (AUS)","2008-2015",25,48,1,2015,"173",42.87,5,14,1,"https://stats.espncricinfo.com/ci/engine/player/7388.html?class=1;template=results;type=batting;view=innings"
"AC Hudson (SA)","1992-1998",35,63,3,2007,"163",33.45,4,13,7,"https://stats.espncricinfo.com/ci/engine/player/45458.html?class=1;template=results;type=batting;view=innings"
"DN Sardesai (IND)","1961-1972",30,55,4,2001,"212",39.23,5,9,4,"https://stats.espncricinfo.com/ci/engine/player/33850.html?class=1;template=results;type=batting;view=innings"
"TW Hayward (ENG)","1896-1909",35,60,2,1999,"137",34.46,3,12,7,"https://stats.espncricinfo.com/ci/engine/player/14119.html?class=1;template=results;type=batting;view=innings"
"MA Noble (AUS)","1898-1909",42,73,7,1997,"133",30.25,1,16,4,"https://stats.espncricinfo.com/ci/engine/player/6936.html?class=1;template=results;type=batting;view=innings"
"DL Murray (WI)","1963-1980",62,96,9,1993,"91",22.9,0,11,7,"https://stats.espncricinfo.com/ci/engine/player/52441.html?class=1;template=results;type=batting;view=innings"
"HH Streak (ZIM)","1993-2005",65,107,18,1990,"127*",22.35,1,11,15,"https://stats.espncricinfo.com/ci/engine/player/55761.html?class=1;template=results;type=batting;view=innings"
"AD Gaekwad (IND)","1974-1985",40,70,4,1985,"201",30.07,2,10,4,"https://stats.espncricinfo.com/ci/engine/player/28754.html?class=1;template=results;type=batting;view=innings"
"G Pullar (ENG)","1959-1963",28,49,4,1974,"175",43.86,4,12,3,"https://stats.espncricinfo.com/ci/engine/player/18640.html?class=1;template=results;type=batting;view=innings"
"BM McMillan (SA)","1992-1998",38,62,12,1968,"113",39.36,3,13,3,"https://stats.espncricinfo.com/ci/engine/player/46214.html?class=1;template=results;type=batting;view=innings"
"EAB Rowan (SA)","1935-1951",26,50,5,1965,"236",43.66,3,12,4,"https://stats.espncricinfo.com/ci/engine/player/47005.html?class=1;template=results;type=batting;view=innings"
"JM Parks (ENG)","1954-1968",46,68,7,1962,"108*",32.16,2,9,3,"https://stats.espncricinfo.com/ci/engine/player/18435.html?class=1;template=results;type=batting;view=innings"
"BA Edgar (NZ)","1978-1986",39,68,4,1958,"161",30.59,3,12,7,"https://stats.espncricinfo.com/ci/engine/player/36951.html?class=1;template=results;type=batting;view=innings"
"Abdul Razzaq (PAK)","1999-2006",46,77,9,1946,"134",28.61,3,7,4,"https://stats.espncricinfo.com/ci/engine/player/39836.html?class=1;template=results;type=batting;view=innings"
"SC Williams (ZIM)","2013-2025",24,47,4,1946,"154",45.25,6,7,0,"https://stats.espncricinfo.com/ci/engine/player/55870.html?class=1;template=results;type=batting;view=innings"
"W Jaffer (IND)","2000-2008",31,58,1,1944,"212",34.1,5,11,6,"https://stats.espncricinfo.com/ci/engine/player/29646.html?class=1;template=results;type=batting;view=innings"
"RS Kaluwitharana (SL)","1992-2004",49,78,4,1933,"132*",26.12,3,9,5,"https://stats.espncricinfo.com/ci/engine/player/49361.html?class=1;template=results;type=batting;view=innings"
"CR Ervine (ZIM)","2011-2025",31,61,3,1931,"160",33.29,4,7,2,"https://stats.espncricinfo.com/ci/engine/player/55412.html?class=1;template=results;type=batting;view=innings"
"AC MacLaren (ENG)","1894-1909",35,61,4,1931,"140",33.87,5,8,4,"https://stats.espncricinfo.com/ci/engine/player/16871.html?class=1;template=results;type=batting;view=innings"
"L Klusener (SA)","1996-2004",49,69,11,1906,"174",32.86,4,8,4,"https://stats.espncricinfo.com/ci/engine/player/45821.html?class=1;template=results;type=batting;view=innings"
"Yuvraj Singh (IND)","2003-2012",40,62,6,1900,"169",33.92,3,11,7,"https://stats.espncricinfo.com/ci/engine/player/36084.html?class=1;template=results;type=batting;view=innings"
"Shoaib Malik (PAK)","2001-2015",35,60,6,1898,"245",35.14,3,8,6,"https://stats.espncricinfo.com/ci/engine/player/42657.html?class=1;template=results;type=batting;view=innings"
"RC Russell (ENG)","1988-1998",54,86,16,1897,"128*",27.1,2,6,8,"https://stats.espncricinfo.com/ci/engine/player/19500.html?class=1;template=results;type=batting;view=innings"
"Salman Butt (PAK)","2003-2010",33,62,0,1889,"122",30.46,3,10,6,"https://stats.espncricinfo.com/ci/engine/player/42683.html?class=1;template=results;type=batting;view=innings"
"PH Parfitt (ENG)","1961-1972",37,52,6,1882,"131*",40.91,7,6,5,"https://stats.espncricinfo.com/ci/engine/player/18411.html?class=1;template=results;type=batting;view=innings"
"GRJ Matthews (AUS)","1983-1993",33,53,8,1849,"130",41.08,4,12,2,"https://stats.espncricinfo.com/ci/engine/player/6525.html?class=1;template=results;type=batting;view=innings"
"RES Wyatt (ENG)","1927-1937",40,64,6,1839,"149",31.7,2,12,6,"https://stats.espncricinfo.com/ci/engine/player/22545.html?class=1;template=results;type=batting;view=innings"
"R Illingworth (ENG)","1958-1973",61,90,11,1836,"113",23.24,2,5,7,"https://stats.espncricinfo.com/ci/engine/player/15385.html?class=1;template=results;type=batting;view=innings"
"RP Arnold (SL)","1997-2004",44,69,4,1821,"123",28.01,3,10,7,"https://stats.espncricinfo.com/ci/engine/player/48122.html?class=1;template=results;type=batting;view=innings"
"IDS Smith (NZ)","1980-1992",63,88,17,1815,"173",25.56,2,6,7,"https://stats.espncricinfo.com/ci/engine/player/38396.html?class=1;template=results;type=batting;view=innings"
"MD Marshall (WI)","1978-1991",81,107,11,1810,"92",18.85,0,10,15,"https://stats.espncricinfo.com/ci/engine/player/52419.html?class=1;template=results;type=batting;view=innings"
"JP Crawley (ENG)","1994-2003",37,61,9,1800,"156*",34.61,4,9,4,"https://stats.espncricinfo.com/ci/engine/player/10870.html?class=1;template=results;type=batting;view=innings"
"DS Lehmann (AUS)","1998-2004",27,42,2,1798,"177",44.95,5,10,2,"https://stats.espncricinfo.com/ci/engine/player/6285.html?class=1;template=results;type=batting;view=innings"
"Imrul Kayes (BAN)","2008-2019",39,76,2,1797,"150",24.28,3,4,4,"https://stats.espncricinfo.com/ci/engine/player/280734.html?class=1;template=results;type=batting;view=innings"
"NT Paranavitana (SL)","2009-2012",32,60,5,1792,"111",32.58,2,11,9,"https://stats.espncricinfo.com/ci/engine/player/50181.html?class=1;template=results;type=batting;view=innings"
"RJ Burns (ENG)","2018-2022",32,59,0,1789,"133",30.32,3,11,9,"https://stats.espncricinfo.com/ci/engine/player/398778.html?class=1;template=results;type=batting;view=innings"
"MJ Horne (NZ)","1997-2003",35,65,2,1788,"157",28.38,4,5,4,"https://stats.espncricinfo.com/ci/engine/player/37250.html?class=1;template=results;type=batting;view=innings"
"JDP Oram (NZ)","2002-2009",33,59,10,1780,"133",36.32,5,6,4,"https://stats.espncricinfo.com/ci/engine/player/38062.html?class=1;template=results;type=batting;view=innings"
"VD Philander (SA)","2011-2020",64,94,20,1779,"74",24.04,0,8,8,"https://stats.espncricinfo.com/ci/engine/player/46945.html?class=1;template=results;type=batting;view=innings"
"BC Booth (AUS)","1961-1966",29,48,6,1773,"169",42.21,5,10,5,"https://stats.espncricinfo.com/ci/engine/player/4171.html?class=1;template=results;type=batting;view=innings"
"Saud Shakeel (PAK)","2022-2025",21,40,3,1773,"208*",47.91,4,10,3,"https://stats.espncricinfo.com/ci/engine/player/652687.html?class=1;template=results;type=batting;view=innings"
"DS Smith (WI)","2003-2018",43,76,2,1760,"108",23.78,1,8,7,"https://stats.espncricinfo.com/ci/engine/player/52962.html?class=1;template=results;type=batting;view=innings"
"CJ Tavare (ENG)","1980-1989",31,56,2,1755,"149",32.5,2,12,5,"https://stats.espncricinfo.com/ci/engine/player/21466.html?class=1;template=results;type=batting;view=innings"
"GA Faulkner (SA)","1906-1924",25,47,4,1754,"204",40.79,4,8,2,"https://stats.espncricinfo.com/ci/engine/player/45039.html?class=1;template=results;type=batting;view=innings"
"WU Tharanga (SL)","2005-2017",31,58,3,1754,"165",31.89,3,8,6,"https://stats.espncricinfo.com/ci/engine/player/50747.html?class=1;template=results;type=batting;view=innings"
"C Green (AUS)","2020-2026",37,59,6,1736,"174*",32.75,2,7,5,"https://stats.espncricinfo.com/ci/engine/player/1076713.html?class=1;template=results;type=batting;view=innings"
"Javed Omar (BAN)","2001-2007",40,80,2,1720,"119",22.05,1,8,5,"https://stats.espncricinfo.com/ci/engine/player/55935.html?class=1;template=results;type=batting;view=innings"
"HH Dippenaar (SA)","1999-2007",38,62,5,1718,"177*",30.14,3,7,8,"https://stats.espncricinfo.com/ci/engine/player/44708.html?class=1;template=results;type=batting;view=innings"
"Shahid Afridi (PAK)","1998-2010",27,48,1,1716,"156",36.51,5,8,6,"https://stats.espncricinfo.com/ci/engine/player/42639.html?class=1;template=results;type=batting;view=innings"
"JE Emburey (ENG)","1978-1995",64,96,20,1713,"75",22.53,0,10,16,"https://stats.espncricinfo.com/ci/engine/player/12514.html?class=1;template=results;type=batting;view=innings"
"HMRKB Herath (SL)","1999-2018",93,144,28,1699,"80*",14.64,0,3,23,"https://stats.espncricinfo.com/ci/engine/player/49178.html?class=1;template=results;type=batting;view=innings"
"GM Ritchie (AUS)","1982-1987",30,53,5,1690,"146",35.2,3,7,1,"https://stats.espncricinfo.com/ci/engine/player/7358.html?class=1;template=results;type=batting;view=innings"
"Imam-ul-Haq (PAK)","2018-2025",26,50,4,1687,"157",36.67,3,10,5,"https://stats.espncricinfo.com/ci/engine/player/568276.html?class=1;template=results;type=batting;view=innings"
"KC Bland (SA)","1961-1966",21,39,5,1669,"144*",49.08,3,9,2,"https://stats.espncricinfo.com/ci/engine/player/44084.html?class=1;template=results;type=batting;view=innings"
"MH Denness (ENG)","1969-1975",28,45,3,1667,"188",39.69,4,7,2,"https://stats.espncricinfo.com/ci/engine/player/11870.html?class=1;template=results;type=batting;view=innings"
"BC Broad (ENG)","1984-1989",25,44,2,1661,"162",39.54,6,6,3,"https://stats.espncricinfo.com/ci/engine/player/9230.html?class=1;template=results;type=batting;view=innings"
"JT Tyldesley (ENG)","1899-1909",31,55,1,1661,"138",30.75,4,9,4,"https://stats.espncricinfo.com/ci/engine/player/21636.html?class=1;template=results;type=batting;view=innings"
"J Darling (AUS)","1894-1905",34,60,2,1657,"178",28.56,3,8,8,"https://stats.espncricinfo.com/ci/engine/player/4897.html?class=1;template=results;type=batting;view=innings"
"GS Ballance (ENG/ZIM)","2014-2023",24,44,3,1653,"156",40.31,5,7,3,"https://stats.espncricinfo.com/ci/engine/player/232438.html?class=1;template=results;type=batting;view=innings"
"NM Lyon (AUS)","2011-2025",141,180,49,1651,"47",12.6,0,0,20,"https://stats.espncricinfo.com/ci/engine/player/272279.html?class=1;template=results;type=batting;view=innings"
"J Hardstaff jnr (ENG)","1935-1948",23,38,3,1636,"205*",46.74,4,10,4,"https://stats.espncricinfo.com/ci/engine/player/14041.html?class=1;template=results;type=batting;view=innings"
"MS Sinclair (NZ)","1999-2010",33,56,5,1635,"214",32.05,3,4,4,"https://stats.espncricinfo.com/ci/engine/player/38393.html?class=1;template=results;type=batting;view=innings"
"WR Endean (SA)","1951-1958",28,52,4,1630,"162*",33.95,3,8,3,"https://stats.espncricinfo.com/ci/engine/player/44964.html?class=1;template=results;type=batting;view=innings"
"RB McCosker (AUS)","1975-1980",25,46,5,1622,"127",39.56,4,9,5,"https://stats.espncricinfo.com/ci/engine/player/6547.html?class=1;template=results;type=batting;view=innings"
"SV Carlisle (ZIM)","1995-2005",37,66,6,1615,"118",26.91,2,8,7,"https://stats.espncricinfo.com/ci/engine/player/55307.html?class=1;template=results;type=batting;view=innings"
"MS Wade (AUS)","2012-2021",36,63,9,1613,"117",29.87,4,5,3,"https://stats.espncricinfo.com/ci/engine/player/230193.html?class=1;template=results;type=batting;view=innings"
"NJ Contractor (IND)","1955-1962",31,52,1,1611,"108",31.58,1,11,2,"https://stats.espncricinfo.com/ci/engine/player/27667.html?class=1;template=results;type=batting;view=innings"
"Abdullah Shafique (PAK)","2021-2025",24,46,3,1610,"201",37.44,5,6,6,"https://stats.espncricinfo.com/ci/engine/player/922941.html?class=1;template=results;type=batting;view=innings"
"Yashpal Sharma (IND)","1979-1983",37,59,11,1606,"140",33.45,2,9,4,"https://stats.espncricinfo.com/ci/engine/player/36075.html?class=1;template=results;type=batting;view=innings"
"JJ Crowe (NZ)","1983-1990",39,65,4,1601,"128",26.24,3,6,6,"https://stats.espncricinfo.com/ci/engine/player/36620.html?class=1;template=results;type=batting;view=innings"
"RT Robinson (ENG)","1984-1989",29,49,5,1601,"175",36.38,4,6,5,"https://stats.espncricinfo.com/ci/engine/player/19445.html?class=1;template=results;type=batting;view=innings"
"M Prabhakar (IND)","1984-1995",39,58,9,1600,"120",32.65,1,9,3,"https://stats.espncricinfo.com/ci/engine/player/32323.html?class=1;template=results;type=batting;view=innings"
"AP Sheahan (AUS)","1967-1974",31,53,6,1594,"127",33.91,2,7,3,"https://stats.espncricinfo.com/ci/engine/player/7597.html?class=1;template=results;type=batting;view=innings"
"WA Brown (AUS)","1934-1948",22,35,1,1592,"206*",46.82,4,9,1,"https://stats.espncricinfo.com/ci/engine/player/4225.html?class=1;template=results;type=batting;view=innings"
"SM Patil (IND)","1980-1984",29,47,4,1588,"174",36.93,4,7,4,"https://stats.espncricinfo.com/ci/engine/player/32283.html?class=1;template=results;type=batting;view=innings"
